batter,pitcher,stand,p_throws,events,description,player_AVG,player_OBP,player_SLG,player_PA
680776,665152,L,R,,foul,0.285,0.342,0.492,735
680776,665152,L,R,,swinging_strike,0.285,0.342,0.492,735
680776,665152,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,665152,L,R,,called_strike,0.285,0.342,0.492,735
680776,665152,L,R,single,hit_into_play,0.285,0.342,0.492,735
680776,622554,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,622554,L,R,,foul,0.285,0.342,0.492,735
680776,622554,L,R,,ball,0.285,0.342,0.492,735
680776,665152,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,665152,L,R,,ball,0.285,0.342,0.492,735
680776,665152,L,R,,swinging_strike,0.285,0.342,0.492,735
680776,665152,L,R,,called_strike,0.285,0.342,0.492,735
680776,544150,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,544150,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,544150,L,R,,foul,0.285,0.342,0.492,735
680776,544150,L,R,,ball,0.285,0.342,0.492,735
680776,544150,L,R,,swinging_strike,0.285,0.342,0.492,735
680776,544150,L,R,,ball,0.285,0.342,0.492,735
680776,672335,L,L,single,hit_into_play,0.285,0.342,0.492,735
680776,622554,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,622554,L,R,,swinging_strike,0.285,0.342,0.492,735
680776,544150,L,R,strikeout,swinging_strike,0.285,0.342,0.492,735
680776,544150,L,R,,foul,0.285,0.342,0.492,735
680776,544150,L,R,,swinging_strike,0.285,0.342,0.492,735
680776,544150,L,R,,foul,0.285,0.342,0.492,735
680776,700249,L,L,strikeout,swinging_strike,0.285,0.342,0.492,735
680776,700249,L,L,,swinging_strike,0.285,0.342,0.492,735
680776,700249,L,L,,swinging_strike,0.285,0.342,0.492,735
680776,700249,L,L,,ball,0.285,0.342,0.492,735
680776,700249,L,L,field_out,hit_into_play,0.285,0.342,0.492,735
680776,700249,L,L,,foul,0.285,0.342,0.492,735
680776,700249,L,L,,ball,0.285,0.342,0.492,735
680776,518886,L,R,strikeout,swinging_strike,0.285,0.342,0.492,735
680776,518886,L,R,,swinging_strike,0.285,0.342,0.492,735
680776,518886,L,R,,blocked_ball,0.285,0.342,0.492,735
680776,518886,L,R,,foul,0.285,0.342,0.492,735
680776,700249,L,L,field_out,hit_into_play,0.285,0.342,0.492,735
680776,642397,L,L,strikeout,swinging_strike,0.285,0.342,0.492,735
680776,700249,L,L,,ball,0.285,0.342,0.492,735
680776,642397,L,L,,foul,0.285,0.342,0.492,735
680776,700249,L,L,,swinging_strike,0.285,0.342,0.492,735
680776,642397,L,L,,ball,0.285,0.342,0.492,735
680776,700249,L,L,,foul,0.285,0.342,0.492,735
680776,642397,L,L,,blocked_ball,0.285,0.342,0.492,735
680776,642397,L,L,,foul,0.285,0.342,0.492,735
680776,700249,L,L,,ball,0.285,0.342,0.492,735
680776,623167,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,623167,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,623167,L,R,,ball,0.285,0.342,0.492,735
680776,623167,L,R,,ball,0.285,0.342,0.492,735
