player_AVG,player_OBP,player_SLG,player_PA,ERA,WHIP,SO9,SO/W,HR,BB,H,IP,BAbip,is_hit,stand_R,p_throws_R,description_encoded
0.285,0.342,0.492,735,3.65,1.264,9.5,2.89,13,54,133,148.0,0.305,0,0,1,4
0.285,0.342,0.492,735,3.65,1.264,9.5,2.89,13,54,133,148.0,0.305,0,0,1,2
0.285,0.342,0.492,735,3.15,1.108,11.1,3.14,5,28,51,71.1,0.271,0,0,0,2
0.285,0.342,0.492,735,3.65,1.264,9.5,2.89,13,54,133,148.0,0.305,0,0,1,0
0.285,0.342,0.492,735,4.24,1.254,7.5,3.71,17,34,155,150.2,0.309,0,0,1,0
0.285,0.342,0.492,735,4.24,1.254,7.5,3.71,17,34,155,150.2,0.309,0,0,1,0
0.285,0.342,0.492,735,3.92,1.173,8.0,2.94,1,18,52,59.2,0.298,0,0,0,0
0.285,0.342,0.492,735,4.24,1.254,7.5,3.71,17,34,155,150.2,0.309,1,0,1,0
0.285,0.342,0.492,735,5.48,1.384,7.4,2.74,15,27,98,90.1,0.303,0,0,1,0
0.285,0.342,0.492,735,5.48,1.384,7.4,2.74,15,27,98,90.1,0.303,0,0,1,4
0.285,0.342,0.492,735,2.23,1.165,9.3,2.03,7,35,45,68.2,0.232,0,0,1,4
0.285,0.342,0.492,735,5.48,1.384,7.4,2.74,15,27,98,90.1,0.303,1,0,1,0
0.285,0.342,0.492,735,2.76,1.098,9.0,2.39,22,71,115,169.1,0.222,1,0,1,0
0.285,0.342,0.492,735,2.76,1.098,9.0,2.39,22,71,115,169.1,0.222,0,0,1,4
0.285,0.342,0.492,735,2.55,0.811,9.5,6.5,7,4,16,24.2,0.161,1,0,1,0
0.285,0.342,0.492,735,4.61,1.482,11.0,2.68,6,25,56,54.2,0.34,1,0,0,0
0.285,0.342,0.492,735,2.76,1.098,9.0,2.39,22,71,115,169.1,0.222,1,0,1,0
0.285,0.342,0.492,735,4.05,1.201,10.6,4.68,25,44,167,175.2,0.312,0,0,0,0
0.285,0.342,0.492,735,4.05,1.201,10.6,4.68,25,44,167,175.2,0.312,0,0,0,0
0.285,0.342,0.492,735,2.23,1.165,9.3,2.03,7,35,45,68.2,0.232,0,0,1,0
0.285,0.342,0.492,735,4.05,1.201,10.6,4.68,25,44,167,175.2,0.312,1,0,0,0
0.285,0.342,0.492,735,3.7,1.294,7.3,2.51,17,43,130,133.2,0.29,0,0,1,0
0.285,0.342,0.492,735,3.7,1.294,7.3,2.51,17,43,130,133.2,0.29,0,0,1,0
0.285,0.342,0.492,735,4.67,1.426,7.8,1.68,0,28,49,54.0,0.306,0,0,0,0
0.285,0.342,0.492,735,3.7,1.294,7.3,2.51,17,43,130,133.2,0.29,0,0,1,0
0.285,0.342,0.492,735,4.33,1.21,10.4,3.33,12,21,52,60.1,0.258,0,0,1,2
0.285,0.342,0.492,735,5.2,1.431,7.8,2.03,12,34,80,79.2,0.291,0,0,0,0
0.285,0.342,0.492,735,5.2,1.431,7.8,2.03,12,34,80,79.2,0.291,0,0,0,2
0.285,0.342,0.492,735,4.36,1.565,11.1,2.36,4,28,56,53.2,0.371,0,0,0,0
0.285,0.342,0.492,735,3.08,1.321,9.7,2.64,6,25,56,61.1,0.319,1,0,1,0
0.285,0.342,0.492,735,5.2,1.431,7.8,2.03,12,34,80,79.2,0.291,0,0,0,0
0.285,0.342,0.492,735,2.85,1.082,8.2,3.76,22,49,170,202.1,0.267,0,0,1,4
0.285,0.342,0.492,735,2.85,1.082,8.2,3.76,22,49,170,202.1,0.267,1,0,1,0
0.285,0.342,0.492,735,5.33,1.357,12.6,2.35,7,31,40,52.1,0.287,1,0,1,0
0.285,0.342,0.492,735,5.01,1.157,8.9,3.29,3,7,20,23.1,0.283,0,0,1,0
0.285,0.342,0.492,735,3.29,0.945,11.0,4.85,9,20,55,79.1,0.247,0,0,0,2
0.285,0.342,0.492,735,2.85,1.082,8.2,3.76,22,49,170,202.1,0.267,1,0,1,0
0.285,0.342,0.492,735,3.56,1.152,7.3,5.48,22,25,170,169.1,0.289,0,0,1,0
0.285,0.342,0.492,735,3.56,1.152,7.3,5.48,22,25,170,169.1,0.289,0,0,1,1
0.285,0.342,0.492,735,3.56,1.152,7.3,5.48,22,25,170,169.1,0.289,0,0,1,1
0.285,0.342,0.492,735,4.67,1.426,7.8,1.68,0,28,49,54.0,0.306,0,0,0,0
0.285,0.342,0.492,735,5.31,1.442,8.6,2.28,18,40,97,95.0,0.297,0,0,1,0
