mlbID,ERA,WHIP,SO9,SO/W,HR,BB,H,IP,BAbip
593958,5.04,1.5,8.5,2.47,8,19,56,50.0,0.324
680570,3.86,1.243,10.0,3.61,15,36,109,116.2,0.308
570257,5.93,1.537,7.9,6.0,3,2,19,13.2,0.348
655889,2.15,1.062,8.1,3.09,3,11,29,37.2,0.257
678495,4.3,1.242,9.1,2.94,4,18,47,52.1,0.305
684320,4.47,1.315,8.8,2.13,11,40,74,86.2,0.276
666720,8.72,1.8,7.1,1.31,7,13,26,21.2,0.288
642028,6.55,1.636,2.5,1.0,1,3,15,11.0,0.342
573124,2.4,1.25,9.6,2.91,7,22,53,60.0,0.299
669432,4.92,1.576,7.0,1.73,14,56,140,124.1,0.323
643511,2.82,1.038,6.5,8.5,7,6,67,70.1,0.277
668942,9.0,1.5,0.0,0.0,1,2,1,2.0,0.0
500743,0.0,1.0,0.0,,0,0,1,1.0,0.25
605447,6.59,1.463,8.6,3.25,4,4,16,13.2,0.308
668941,3.36,1.153,7.8,3.19,8,16,52,59.0,0.272
666163,4.5,2.5,4.5,0.5,1,2,3,2.0,0.286
670046,6.0,1.5,6.4,2.13,5,8,28,24.0,0.311
605452,3.69,1.348,7.9,2.2,7,30,72,75.2,0.294
694738,3.58,1.371,8.4,1.81,2,26,43,50.1,0.291
688297,4.19,1.398,8.7,1.94,2,17,31,34.1,0.296
614179,3.78,1.376,8.9,3.06,9,17,55,52.1,0.317
671131,3.24,1.2,9.7,4.5,1,2,8,8.1,0.333
657746,3.6,0.985,9.8,6.39,19,23,110,135.0,0.265
689981,1.33,1.18,8.0,2.0,1,9,15,20.1,0.264
656924,5.66,1.452,7.4,1.89,2,9,21,20.2,0.312
685314,36.0,6.0,0.0,0.0,0,4,2,1.0,0.5
681870,0.55,0.98,13.2,3.43,1,7,9,16.1,0.25
674285,2.76,1.636,8.3,1.93,2,14,34,29.1,0.36
519242,2.38,1.013,11.4,5.77,9,39,141,177.2,0.315
676614,3.62,0.915,5.9,2.0,6,9,16,27.1,0.143
650911,3.33,1.243,7.6,3.51,12,45,187,186.2,0.314
664350,6.06,1.598,4.3,1.21,3,14,43,35.2,0.325
680704,3.75,1.266,10.6,2.52,12,27,46,57.2,0.262
663776,5.08,1.506,9.2,2.31,8,35,85,79.2,0.342
663485,3.28,0.995,10.7,7.08,6,12,59,71.1,0.291
593934,0.0,0.0,0.0,,0,0,0,0.1,0.0
642701,3.89,1.088,8.7,3.29,4,21,57,71.2,0.282
663574,3.0,1.0,13.8,5.11,4,9,21,30.0,0.27
666619,4.91,1.091,7.4,6.0,0,1,7,7.1,0.304
642048,3.49,1.371,8.8,2.11,3,18,35,38.2,0.305
669422,7.71,2.082,5.0,0.82,3,11,23,16.1,0.333
622250,3.86,1.225,9.4,4.25,1,4,16,16.1,0.319
453286,3.95,1.154,8.3,4.0,7,10,40,43.1,0.277
657376,2.9,1.178,9.7,3.13,8,31,75,90.0,0.297
670167,3.42,1.301,8.1,2.08,1,24,48,55.1,0.294
680885,3.35,1.043,9.2,5.52,14,23,106,123.2,0.281
681035,4.56,1.204,7.4,3.25,8,12,45,47.1,0.276
656945,1.65,1.114,10.7,2.39,3,38,47,76.1,0.256
605463,2.23,1.165,9.3,2.03,7,35,45,68.2,0.232
676664,4.38,1.221,6.8,2.8,28,49,172,181.0,0.273
681882,2.57,1.0,6.4,1.25,0,4,3,7.0,0.167
673540,6.23,1.269,12.5,2.0,2,6,5,8.2,0.188
622608,6.57,1.865,5.1,0.88,3,8,15,12.1,0.333
622663,3.94,1.247,7.9,2.76,25,62,180,194.0,0.289
623149,4.31,1.135,9.8,4.3,6,10,35,39.2,0.282
543766,9.0,3.0,9.0,1.0,1,4,8,4.0,0.467
592741,0.0,1.0,0.0,,0,0,1,1.0,0.25
663767,4.15,1.269,8.3,2.67,1,3,8,8.2,0.292
694363,4.3,1.459,6.9,1.7,9,33,74,73.1,0.292
681217,6.75,1.5,13.5,3.0,3,4,8,8.0,0.278
608371,4.38,1.439,8.9,1.63,8,30,41,49.1,0.264
663903,3.7,1.272,8.6,3.17,22,54,175,180.0,0.305
694973,1.96,0.947,11.5,5.31,10,32,94,133.0,0.284
669373,2.39,0.91,10.6,6.7,16,37,155,211.0,0.271
686580,2.93,1.012,9.4,6.44,4,9,47,55.1,0.285
