batter,pitcher,stand,p_throws,events,description,player_AVG,player_OBP,player_SLG,player_PA,mlbID,ERA,WHIP,SO9,SO/W,HR,BB,H,IP,BAbip
680776,669358,L,R,,ball,0.285,0.342,0.492,735,669358,3.06,1.059,7.8,2.56,9,27,57,79.1,0.229
680776,669358,L,R,,foul,0.285,0.342,0.492,735,669358,3.06,1.059,7.8,2.56,9,27,57,79.1,0.229
680776,669358,L,R,,foul,0.285,0.342,0.492,735,669358,3.06,1.059,7.8,2.56,9,27,57,79.1,0.229
680776,607074,L,L,single,hit_into_play,0.285,0.342,0.492,735,607074,4.0,1.213,10.3,3.7,33,57,167,184.2,0.289
680776,607074,L,L,,called_strike,0.285,0.342,0.492,735,607074,4.0,1.213,10.3,3.7,33,57,167,184.2,0.289
680776,607074,L,L,,ball,0.285,0.342,0.492,735,607074,4.0,1.213,10.3,3.7,33,57,167,184.2,0.289
680776,607074,L,L,,ball,0.285,0.342,0.492,735,607074,4.0,1.213,10.3,3.7,33,57,167,184.2,0.289
680776,607074,L,L,,ball,0.285,0.342,0.492,735,607074,4.0,1.213,10.3,3.7,33,57,167,184.2,0.289
680776,607074,L,L,field_out,hit_into_play,0.285,0.342,0.492,735,607074,4.0,1.213,10.3,3.7,33,57,167,184.2,0.289
680776,607074,L,L,,foul,0.285,0.342,0.492,735,607074,4.0,1.213,10.3,3.7,33,57,167,184.2,0.289
680776,607074,L,L,,swinging_strike,0.285,0.342,0.492,735,607074,4.0,1.213,10.3,3.7,33,57,167,184.2,0.289
680776,607074,L,L,,called_strike,0.285,0.342,0.492,735,607074,4.0,1.213,10.3,3.7,33,57,167,184.2,0.289
680776,607074,L,L,,ball,0.285,0.342,0.492,735,607074,4.0,1.213,10.3,3.7,33,57,167,184.2,0.289
680776,607074,L,L,,ball,0.285,0.342,0.492,735,607074,4.0,1.213,10.3,3.7,33,57,167,184.2,0.289
680776,607074,L,L,,ball,0.285,0.342,0.492,735,607074,4.0,1.213,10.3,3.7,33,57,167,184.2,0.289
680776,592454,L,R,grounded_into_double_play,hit_into_play,0.285,0.342,0.492,735,592454,1.91,1.128,9.6,2.27,5,22,31,47.0,0.222
680776,657612,L,L,grounded_into_double_play,hit_into_play,0.285,0.342,0.492,735,657612,3.34,1.429,4.1,1.68,2,19,81,70.0,0.319
680776,592454,L,R,,ball,0.285,0.342,0.492,735,592454,1.91,1.128,9.6,2.27,5,22,31,47.0,0.222
680776,607074,L,L,field_out,hit_into_play,0.285,0.342,0.492,735,607074,4.0,1.213,10.3,3.7,33,57,167,184.2,0.289
680776,607074,L,L,,ball,0.285,0.342,0.492,735,607074,4.0,1.213,10.3,3.7,33,57,167,184.2,0.289
680776,657612,L,L,,ball,0.285,0.342,0.492,735,657612,3.34,1.429,4.1,1.68,2,19,81,70.0,0.319
680776,592454,L,R,,swinging_strike,0.285,0.342,0.492,735,592454,1.91,1.128,9.6,2.27,5,22,31,47.0,0.222
